Age Range,Experience,Industry,Job Title,Education,Country,Annual Salary,Annual Bonus,Signon Bonus,Gender
22-25,2,Payroll/Taxes,Consultant,Bachelor's Degree,United States,60000.0,15000.0,0.0,Female
22-25,2,Education,Teacher,Bachelor's Degree,Canada,29564.0,0.0,0.0,Female
22-25,2,Education,Teacher,Bachelor's Degree,United States,58000.0,0.0,0.0,Female
22-25,2,Information Technology/It,Computer Customer Support Specialist,Some college,United States,25200.0,0.0,0.0,Female
22-25,2,Information Technology/It,Junior Software Developer,Bachelor's Degree,Puerto Rico,30000.0,0.0,0.0,Female
22-25,2,Information Technology/It,Coo,Bachelor's Degree,United Kingdom,46537.5,0.0,0.0,Female
22-25,2,Information Technology/It,Marketing,Master's Degree,Netherlands,43552.0,0.0,0.0,Female
22-25,2,Information Technology/It,Coo,Bachelor's Degree,Canada,31042.2,0.0,0.0,Female
22-25,2,Information Technology/It,Coo,Master's Degree,United States,47000.0,0.0,0.0,Female
22-25,2,Information Technology/It,Aviation Medicine Specialist,Bachelor's Degree,United States,47840.0,0.0,0.0,Female
22-25,2,Information Technology/It,Consultant,Bachelor's Degree,United States,48000.0,0.0,0.0,Female
22-25,2,Information Technology/It,Support Specialist,Bachelor's Degree,United States,49000.0,0.0,0.0,Female
22-25,2,Information Technology/It,Business,Bachelor's Degree,United States,50000.0,0.0,0.0,Female
22-25,2,Information Technology/It,Research,Bachelor's Degree,United States,50500.0,0.0,0.0,Female
22-25,2,Information Technology/It,Headache Specialist,Bachelor's Degree,United States,52500.0,0.0,0.0,Female
22-25,2,Information Technology/It,Other,Bachelor's Degree,Canada,40650.5,0.0,0.0,Female
22-25,2,Information Technology/It,Independent Video Producer,Bachelor's Degree,United States,55000.0,0.0,0.0,Female
22-25,2,Information Technology/It,Sales,Bachelor's Degree,United States,55000.0,0.0,0.0,Female
22-25,2,Information Technology/It,Project Manager,Associate Degree,United States,57600.0,0.0,0.0,Female
22-25,2,Information Technology/It,Marketing,Bachelor's Degree,United States,58000.0,0.0,0.0,Female
22-25,2,Information Technology/It,Manager,Master's Degree,Canada,44346.0,0.0,0.0,Female
22-25,2,Information Technology/It,Bank Note Designer,Bachelor's Degree,United States,60000.0,0.0,0.0,Female
22-25,2,Information Technology/It,Actuarial Associate,Bachelor's Degree,United States,60000.0,0.0,0.0,Female
22-25,2,Information Technology/It,Account Coordinator,Bachelor's Degree,United States,60000.0,0.0,0.0,Female
22-25,2,Information Technology/It,Data Analyst,Bachelor's Degree,United States,60000.0,0.0,0.0,Female
22-25,2,Information Technology/It,Recruiter,Bachelor's Degree,United States,60000.0,0.0,0.0,Female
22-25,2,Information Technology/It,Coo,Bachelor's Degree,United States,65000.0,0.0,0.0,Female
22-25,2,Information Technology/It,Product Manager,Bachelor's Degree,United States,65000.0,0.0,0.0,Female
22-25,2,Information Technology/It,Recruiter,Master's Degree,United States,66500.0,0.0,0.0,Female
22-25,2,Information Technology/It,Manager,Bachelor's Degree,Singapore,52143.0,0.0,0.0,Female
22-25,2,Information Technology/It,Research,Bachelor's Degree,United States,70000.0,0.0,0.0,Female
22-25,2,Information Technology/It,Visual Designer,Bachelor's Degree,United States,70000.0,0.0,0.0,Female
22-25,2,Information Technology/It,Other,Bachelor's Degree,United States,70000.0,0.0,0.0,Female
22-25,2,Information Technology/It,Coo,Bachelor's Degree,United States,70000.0,0.0,0.0,Female
22-25,2,Information Technology/It,Consultant,Master's Degree,United States,70000.0,0.0,0.0,Female
22-25,2,Information Technology/It,Executive Assistant,Some college,United States,70000.0,0.0,0.0,Female
22-25,2,Information Technology/It,Manager,Bachelor's Degree,United States,75000.0,0.0,0.0,Female
22-25,2,Information Technology/It,Engineer,Bachelor's Degree,United States,75000.0,0.0,0.0,Female
22-25,2,Information Technology/It,Engineer,Bachelor's Degree,United States,75000.0,0.0,0.0,Female
22-25,2,Information Technology/It,Software Engineer,Bachelor's Degree,United States,78000.0,0.0,0.0,Female
22-25,2,Information Technology/It,Software Engineer,Bachelor's Degree,United States,78000.0,0.0,0.0,Female
22-25,2,Information Technology/It,Consultant,Bachelor's Degree,United States,81000.0,0.0,0.0,Female
22-25,2,Information Technology/It,Coo,Some college,United States,83000.0,0.0,0.0,Female
22-25,2,Information Technology/It,Software Engineer,Bachelor's Degree,United States,86000.0,0.0,0.0,Female
22-25,2,Information Technology/It,Marketing,Bachelor's Degree,United States,87000.0,0.0,0.0,Female
22-25,2,Information Technology/It,Business Intelligence Developer,Bachelor's Degree,Canada,65779.9,0.0,0.0,Female
22-25,2,Information Technology/It,Product Manager,Bachelor's Degree,United States,90000.0,0.0,0.0,Female
22-25,2,Information Technology/It,Recruiter,Bachelor's Degree,United States,90000.0,0.0,0.0,Female
22-25,2,Information Technology/It,Recruiter,Bachelor's Degree,United States,90000.0,0.0,0.0,Female
22-25,2,Information Technology/It,Contact Center Specialist,Bachelor's Degree,Canada,67258.1,0.0,0.0,Female
22-25,2,Information Technology/It,Analyst,Bachelor's Degree,United States,95000.0,0.0,0.0,Female
22-25,2,Information Technology/It,Software Engineer,Bachelor's Degree,United States,95000.0,0.0,0.0,Female
22-25,2,Information Technology/It,Customer Success Manager,Bachelor's Degree,United States,96000.0,0.0,0.0,Female
22-25,2,Information Technology/It,Business Analyst,Bachelor's Degree,United States,98000.0,0.0,0.0,Female
22-25,2,Information Technology/It,Accountant,Bachelor's Degree,Australia,65560.0,0.0,0.0,Female
22-25,2,Information Technology/It,Computer Hardware Designer,Bachelor's Degree,United States,100000.0,0.0,0.0,Female
22-25,2,Information Technology/It,Marketing,Bachelor's Degree,United States,100000.0,0.0,0.0,Female
22-25,2,Information Technology/It,Manager,Bachelor's Degree,United States,106000.0,0.0,0.0,Female
22-25,2,Information Technology/It,Recruiter,Bachelor's Degree,United States,114400.0,0.0,0.0,Female
22-25,2,Information Technology/It,Research,Master's Degree,United States,115000.0,0.0,0.0,Female
22-25,2,Information Technology/It,Other,Bachelor's Degree,United States,120000.0,0.0,0.0,Female
22-25,2,Information Technology/It,Actuarial Associate,Bachelor's Degree,United States,120000.0,0.0,0.0,Female
22-25,2,Information Technology/It,Project Manager,Bachelor's Degree,United States,130000.0,0.0,0.0,Female
22-25,2,Information Technology/It,Manager,Bachelor's Degree,United States,130000.0,0.0,0.0,Female
22-25,2,Information Technology/It,Research,Bachelor's Degree,United States,135000.0,0.0,0.0,Female
22-25,2,Information Technology/It,Other,Master's Degree,United States,161000.0,0.0,0.0,Female
22-25,2,Information Technology/It,Other,Bachelor's Degree,United States,48000.0,0.0,0.0,Female
22-25,2,Information Technology/It,Broadcast Producer,Bachelor's Degree,United States,86000.0,0.0,0.0,Female
22-25,2,Information Technology/It,Bank Note Designer,Bachelor's Degree,United Kingdom,38250.0,0.0,0.0,Female
22-25,2,Information Technology/It,Account Coordinator,Bachelor's Degree,United States,47300.0,0.0,0.0,Female
22-25,2,Information Technology/It,Coo,High School Diploma,United States,50000.0,0.0,0.0,Female
22-25,2,Information Technology/It,Aviation Medicine Specialist,Bachelor's Degree,United States,60000.0,0.0,0.0,Female
22-25,2,Information Technology/It,Analyst,Master's Degree,United States,60000.0,0.05,0.0,Female
22-25,2,Information Technology/It,Coo,Bachelor's Degree,United States,61000.0,0.1,0.0,Female
22-25,2,Information Technology/It,Manager,Bachelor's Degree,United States,82000.0,0.1,0.0,Female
22-25,2,Information Technology/It,Project Manager,Master's Degree,United States,89000.0,0.19,0.0,Female
22-25,2,Information Technology/It,Digital Marketing Manager,Bachelor's Degree,United States,100000.0,10.0,0.0,Female
22-25,2,Information Technology/It,Sales,Bachelor's Degree,United States,81300.0,1000.0,0.0,Female
22-25,2,Information Technology/It,Analyst,Bachelor's Degree,United States,44000.0,1300.0,0.0,Female
22-25,2,Information Technology/It,Marketing,Bachelor's Degree,United States,65000.0,1500.0,0.0,Female
22-25,2,Information Technology/It,Sales,Bachelor's Degree,United States,54000.0,2000.0,0.0,Female
22-25,2,Information Technology/It,Marketing,Master's Degree,United Kingdom,48450.0,3825.0,0.0,Female
22-25,2,Information Technology/It,Customer Support Representative,Bachelor's Degree,United States,44000.0,3000.0,0.0,Female
22-25,2,Information Technology/It,Product Manager,Bachelor's Degree,United States,87500.0,3000.0,0.0,Female
22-25,2,Information Technology/It,Chefs And Head Cooks,Bachelor's Degree,United States,63000.0,3000.0,0.0,Female
22-25,2,Information Technology/It,Marketing,Bachelor's Degree,United States,65000.0,3250.0,0.0,Female
22-25,2,Information Technology/It,Account Coordinator,High School Diploma,United States,41800.0,3500.0,0.0,Female
22-25,2,Information Technology/It,Business Analyst,Bachelor's Degree,United States,70000.0,3500.0,0.0,Female
22-25,2,Information Technology/It,Coo,Bachelor's Degree,United States,40000.0,4000.0,0.0,Female
22-25,2,Information Technology/It,Audit Associate,Bachelor's Degree,United States,94000.0,4000.0,0.0,Female
22-25,2,Information Technology/It,Computer Customer Support Specialist,Bachelor's Degree,United States,40000.0,4500.0,0.0,Female
22-25,2,Information Technology/It,Consultant,Bachelor's Degree,United States,40000.0,5000.0,0.0,Female
22-25,2,Information Technology/It,Communicable Disease Specialist,Some college,United States,50000.0,5000.0,0.0,Female
22-25,2,Information Technology/It,Home Mortgage Disclosure Act Specialist,Bachelor's Degree,United States,65000.0,5000.0,0.0,Female
22-25,2,Information Technology/It,Financial Analyst,Bachelor's Degree,United States,75000.0,5000.0,0.0,Female
22-25,2,Information Technology/It,Account Manager,Bachelor's Degree,United States,101000.0,5000.0,0.0,Female
22-25,2,Information Technology/It,Recruiter,Bachelor's Degree,United States,79000.0,5530.0,0.0,Female
22-25,2,Information Technology/It,Analyst,Master's Degree,United States,89474.0,5700.0,0.0,Female
22-25,2,Information Technology/It,Analyst,Bachelor's Degree,United States,65000.0,6000.0,0.0,Female
22-25,2,Information Technology/It,Audit Associate,Bachelor's Degree,United States,65000.0,6500.0,0.0,Female
22-25,2,Information Technology/It,Recruiter,Master's Degree,United States,65000.0,6500.0,0.0,Female
22-25,2,Information Technology/It,Marketing,Bachelor's Degree,United States,65000.0,6500.0,0.0,Female
22-25,2,Information Technology/It,Communications,Bachelor's Degree,United States,65100.0,6900.0,0.0,Female
22-25,2,Information Technology/It,Community Development Planner,Master's Degree,United States,70000.0,7000.0,0.0,Female
22-25,2,Information Technology/It,Data Analyst,Master's Degree,United States,71000.0,7100.0,0.0,Female
22-25,2,Information Technology/It,Analyst,Bachelor's Degree,United States,75000.0,7500.0,0.0,Female
22-25,2,Information Technology/It,Marketing,Bachelor's Degree,United States,95000.0,7600.0,0.0,Female
22-25,2,Information Technology/It,Project Manager,Bachelor's Degree,United States,80000.0,8000.0,0.0,Female
22-25,2,Information Technology/It,Career Technical Counselor,Bachelor's Degree,United States,90000.0,10000.0,0.0,Female
22-25,2,Information Technology/It,Product Manager,Bachelor's Degree,United States,90000.0,10000.0,0.0,Female
22-25,2,Information Technology/It,Career Technical Counselor,Bachelor's Degree,United States,94000.0,10000.0,0.0,Female
22-25,2,Information Technology/It,Analyst,Bachelor's Degree,United States,100000.0,10000.0,0.0,Female
22-25,2,Information Technology/It,Software Engineer,Bachelor's Degree,United States,114400.0,10000.0,0.0,Female
22-25,2,Information Technology/It,Customer Success Manager,Bachelor's Degree,United States,55500.0,10900.0,0.0,Female
22-25,2,Information Technology/It,Customer Success Manager,Bachelor's Degree,United States,81000.0,12000.0,0.0,Female
22-25,2,Information Technology/It,Consultant,Master's Degree,United States,105000.0,12600.0,0.0,Female
22-25,2,Information Technology/It,Manager,Bachelor's Degree,United States,130000.0,13000.0,0.0,Female
22-25,2,Information Technology/It,Account Manager,Bachelor's Degree,United States,59000.0,14750.0,0.0,Female
22-25,2,Information Technology/It,Sales,Master's Degree,United States,50000.0,15000.0,0.0,Female
22-25,2,Information Technology/It,Data Analyst,Bachelor's Degree,United States,70000.0,15000.0,0.0,Female
22-25,2,Information Technology/It,Manager,Bachelor's Degree,United States,90000.0,15000.0,0.0,Female
22-25,2,Information Technology/It,Manager,Bachelor's Degree,United States,103000.0,15450.0,0.0,Female
22-25,2,Information Technology/It,Consultant,Bachelor's Degree,United States,97500.0,17000.0,0.0,Female
22-25,2,Information Technology/It,Account Manager,Bachelor's Degree,United States,42600.0,18600.0,0.0,Female
22-25,2,Information Technology/It,Corporate,Bachelor's Degree,United States,47840.0,20000.0,0.0,Female
22-25,2,Information Technology/It,Sales,Bachelor's Degree,United States,65000.0,20000.0,0.0,Female
22-25,2,Information Technology/It,Other,Bachelor's Degree,United States,49000.0,21000.0,0.0,Female
22-25,2,Information Technology/It,Software Engineer,Bachelor's Degree,United States,142800.0,26500.0,0.0,Female
22-25,2,Information Technology/It,Manager,Bachelor's Degree,United States,70000.0,46000.0,0.0,Female
22-25,2,Information Technology/It,Sales,Bachelor's Degree,United States,50000.0,50000.0,0.0,Female
22-25,2,Information Technology/It,Account Manager,Master's Degree,United States,150000.0,50000.0,0.0,Female
22-25,2,Information Technology/It,Sales,Bachelor's Degree,United States,40000.0,60000.0,0.0,Female
22-25,2,Information Technology/It,Account Executive,Bachelor's Degree,United States,60000.0,60000.0,0.0,Female
22-25,2,Information Technology/It,Account Executive,Bachelor's Degree,United States,70000.0,70000.0,0.0,Female
22-25,2,Information Technology/It,Account Executive,Bachelor's Degree,United States,80000.0,80000.0,0.0,Female
22-25,2,Information Technology/It,Business,Bachelor's Degree,United States,50000.0,0.0,0.0,Male
22-25,2,Information Technology/It,Communications,Bachelor's Degree,United States,56000.0,0.0,0.0,Male
22-25,2,Information Technology/It,Web Developer,Some college,Brazil,14328.0,0.0,0.0,Male
22-25,2,Information Technology/It,Data Analyst,Bachelor's Degree,United States,72000.0,0.0,0.0,Male
22-25,2,Information Technology/It,Analyst,Bachelor's Degree,United States,75000.0,0.0,0.0,Male
22-25,2,Information Technology/It,Engineer,Bachelor's Degree,United States,75000.0,0.0,0.0,Male
22-25,2,Information Technology/It,University,Bachelor's Degree,United States,83000.0,0.0,0.0,Male
22-25,2,Information Technology/It,Sales,Bachelor's Degree,United States,90000.0,0.0,0.0,Male
22-25,2,Information Technology/It,Account Executive,Bachelor's Degree,United States,100000.0,0.0,0.0,Male
22-25,2,Information Technology/It,Account Executive,Bachelor's Degree,United States,105000.0,0.0,0.0,Male
22-25,2,Information Technology/It,Software Engineer,Bachelor's Degree,United States,110000.0,0.0,0.0,Male
22-25,2,Information Technology/It,Software Engineer,Bachelor's Degree,United States,115000.0,0.0,0.0,Male
22-25,2,Information Technology/It,Software Engineer,Bachelor's Degree,United States,120000.0,0.0,0.0,Male
22-25,2,Information Technology/It,Software Engineer,Bachelor's Degree,United States,130000.0,0.0,0.0,Male
22-25,2,Information Technology/It,Software Engineer,Bachelor's Degree,United States,155000.0,0.0,0.0,Male
22-25,2,Information Technology/It,Analyst,Bachelor's Degree,United States,95000.0,0.0,0.0,Male
22-25,2,Information Technology/It,Engineer,High School Diploma,United States,65000.0,0.1,0.0,Male
22-25,2,Information Technology/It,Graphic Designer,Bachelor's Degree,United States,68000.0,1200.0,0.0,Male
22-25,2,Information Technology/It,Software Engineer,Bachelor's Degree,United States,104000.0,3500.0,0.0,Male
22-25,2,Information Technology/It,Engineer,Bachelor's Degree,United States,92000.0,4000.0,0.0,Male
22-25,2,Information Technology/It,Market Research Analyst,Bachelor's Degree,United States,53000.0,5000.0,0.0,Male
22-25,2,Information Technology/It,Engineer,Bachelor's Degree,United States,69000.0,6000.0,0.0,Male
22-25,2,Information Technology/It,Business Consultant,Bachelor's Degree,United States,68000.0,8000.0,0.0,Male
22-25,2,Information Technology/It,Compensation Specialist,Bachelor's Degree,United States,68000.0,10000.0,0.0,Male
22-25,2,Information Technology/It,Financial Analyst,Bachelor's Degree,United States,100000.0,10000.0,0.0,Male
22-25,2,Information Technology/It,Software Engineer,High School Diploma,United States,130000.0,13000.0,0.0,Male
22-25,2,Information Technology/It,Account Manager,Bachelor's Degree,United States,82500.0,15000.0,0.0,Male
22-25,2,Information Technology/It,Business Intelligence Developer,Bachelor's Degree,United States,110000.0,20000.0,0.0,Male
22-25,2,Information Technology/It,Software Engineer,Bachelor's Degree,United States,130000.0,20000.0,0.0,Male
22-25,2,Information Technology/It,Account Executive,Bachelor's Degree,United States,60000.0,60000.0,0.0,Male
22-25,2,Information Technology/It,Account Executive,Bachelor's Degree,United States,65000.0,60000.0,0.0,Male
22-25,2,Information Technology/It,Account Executive,Master's Degree,United States,70000.0,70000.0,0.0,Male
22-25,2,Information Technology/It,Marketing,Bachelor's Degree,United States,61250.0,0.0,0.0,Other
22-25,2,Information Technology/It,Recruiter,Bachelor's Degree,United States,67500.0,12000.0,0.0,Other
22-25,2,Information Technology/It,Recruiter,Bachelor's Degree,Canada,44346.0,0.0,0.0,Other
22-25,2,Information Technology/It,Financial Analyst,Bachelor's Degree,United States,93000.0,7000.0,0.0,Other
22-25,2,Information Technology/It,Product Safety Test Engineer,Bachelor's Degree,United States,50000.0,0.0,0.0,Female
22-25,2,Information Technology/It,Marketing,Bachelor's Degree,United States,55000.0,0.0,0.0,Female
22-25,2,Information Technology/It,Marketing,Bachelor's Degree,United States,56000.0,0.0,0.0,Female
22-25,2,Information Technology/It,Receptionists,Bachelor's Degree,United States,60000.0,0.0,0.0,Female
22-25,2,Information Technology/It,Consultant,Bachelor's Degree,United States,68000.0,0.0,0.0,Female
22-25,2,Information Technology/It,Social Media Manager,Bachelor's Degree,United States,87000.0,0.0,0.0,Female
22-25,2,Information Technology/It,Coo,Bachelor's Degree,United States,90000.0,0.0,0.0,Female
22-25,2,Information Technology/It,Recruiter,Bachelor's Degree,United States,100000.0,0.0,0.0,Female
22-25,2,Information Technology/It,Consultant,Bachelor's Degree,United States,120000.0,0.0,0.0,Female
22-25,2,Information Technology/It,Software Engineer,Bachelor's Degree,United States,95000.0,0.0,0.0,Female
22-25,2,Information Technology/It,Analyst,Bachelor's Degree,United States,60000.0,0.0,0.0,Female
22-25,2,Information Technology/It,Coo,Bachelor's Degree,United States,52000.0,600.0,0.0,Female
22-25,2,Information Technology/It,Other,Bachelor's Degree,United States,75000.0,5000.0,0.0,Female
22-25,2,Information Technology/It,Analyst,Bachelor's Degree,United States,95000.0,9500.0,0.0,Female
22-25,2,Information Technology/It,Recruiter,Bachelor's Degree,United States,55000.0,10000.0,0.0,Female
22-25,2,Information Technology/It,Manager,Bachelor's Degree,United States,82000.0,10000.0,0.0,Female
22-25,2,Information Technology/It,Sales,Bachelor's Degree,United States,95000.0,10000.0,0.0,Female
22-25,2,Information Technology/It,Sales,Bachelor's Degree,United States,105000.0,10000.0,0.0,Female
22-25,2,Information Technology/It,Software Engineer,Bachelor's Degree,United States,110000.0,10000.0,0.0,Female
22-25,2,Information Technology/It,Analyst,Bachelor's Degree,United States,84000.0,12000.0,0.0,Female
22-25,2,Information Technology/It,Inside Sales Representative,Bachelor's Degree,United States,56000.0,24000.0,0.0,Female
22-25,2,Information Technology/It,Account Executive,Bachelor's Degree,United States,60000.0,60000.0,0.0,Female
22-25,2,Information Technology/It,Manager,Bachelor's Degree,United States,85000.0,0.0,0.0,Male
22-25,2,Information Technology/It,Computer Help Desk Representative,Some college,United States,37000.0,26000.0,0.0,Female
22-25,2,Information Technology/It,Engineer,Bachelor's Degree,United States,80000.0,0.0,0.0,Male
22-25,2,Information Technology/It,Product Manager,Bachelor's Degree,United States,42000.0,0.0,0.0,Male
22-25,2,Information Technology/It,Product Manager,Bachelor's Degree,United States,130000.0,13000.0,0.0,Male
22-25,2,Information Technology/It,Commercial Specialist,Bachelor's Degree,United States,70000.0,0.0,0.0,Female
22-25,2,Information Technology/It,Consultant,Bachelor's Degree,United States,92020.0,3500.0,0.0,Female
22-25,2,Information Technology/It,Social Media Manager,Bachelor's Degree,United States,50000.0,0.0,0.0,Female
22-25,2,Information Technology/It,Account Executive,Bachelor's Degree,United States,65000.0,0.0,0.0,Female
22-25,2,Information Technology/It,Other,Bachelor's Degree,United States,45000.0,0.0,0.0,Female
22-25,2,Information Technology/It,Sales,Bachelor's Degree,United States,70000.0,5000.0,0.0,Female
22-25,2,Information Technology/It,Sales,Bachelor's Degree,United States,100000.0,25000.0,0.0,Female
22-25,2,Information Technology/It,Inside Sales Representative,Bachelor's Degree,United States,57000.0,40000.0,0.0,Female
22-25,2,Information Technology/It,Other,Bachelor's Degree,United States,80000.0,0.0,0.0,Male
22-25,2,Information Technology/It,Aviation Medicine Specialist,Master's Degree,United States,75000.0,0.0,0.0,Female
22-25,2,Information Technology/It,Bank Note Designer,Bachelor's Degree,United States,75000.0,8000.0,0.0,Female
22-25,2,Information Technology/It,Software Engineer,Bachelor's Degree,Canada,66519.0,7391.0,0.0,Female
22-25,2,Information Technology/It,Actuarial Associate,Bachelor's Degree,United States,110000.0,0.0,0.0,Female
22-25,2,Information Technology/It,Aviation Medicine Specialist,Bachelor's Degree,United States,65000.0,0.0,0.0,Female
22-25,2,Information Technology/It,Account Executive,Bachelor's Degree,United States,53300.0,0.0,0.0,Female
22-25,2,Information Technology/It,Project Manager,Bachelor's Degree,United States,90000.0,0.1,0.0,Male
22-25,2,Information Technology/It,Business Management Analyst,Bachelor's Degree,United States,57750.0,5000.0,0.0,Female
22-25,2,Information Technology/It,Analyst,Master's Degree,United States,65100.0,0.0,0.0,Male
22-25,2,Information Technology/It,Recruiter,Bachelor's Degree,United States,55000.0,5500.0,0.0,Female
22-25,2,Information Technology/It,It Programmer,Bachelor's Degree,United States,45000.0,10000.0,0.0,Female
22-25,2,Information Technology/It,Marketing,Bachelor's Degree,United States,42000.0,0.0,0.0,Female
22-25,2,Information Technology/It,Coo,Bachelor's Degree,Canada,33185.59,0.0,0.0,Female
22-25,2,Information Technology/It,Network Analyst,Bachelor's Degree,United States,49559.0,0.0,0.0,Female
22-25,2,Information Technology/It,Coo,Bachelor's Degree,United States,50000.0,0.0,0.0,Female
22-25,2,Information Technology/It,Account Manager,Bachelor's Degree,United States,71000.0,0.0,0.0,Female
22-25,2,Information Technology/It,Analyst,Bachelor's Degree,United States,71000.0,0.0,0.0,Female
22-25,2,Information Technology/It,Consultant,Bachelor's Degree,United States,73000.0,0.0,0.0,Female
22-25,2,Information Technology/It,Actuarial Associate,Bachelor's Degree,United States,103000.0,0.0,0.0,Female
22-25,2,Information Technology/It,Sales Engineer,Bachelor's Degree,United States,118000.0,0.0,0.0,Female
22-25,2,Information Technology/It,Auditor,Bachelor's Degree,United States,70000.0,0.0,0.0,Female
22-25,2,Information Technology/It,Software Engineer,Bachelor's Degree,United States,66700.0,0.03,0.0,Female
22-25,2,Information Technology/It,Computer Operations Manager,Bachelor's Degree,United States,67500.0,0.04,0.0,Female
22-25,2,Information Technology/It,Recruiter,Bachelor's Degree,United States,47500.0,500.0,0.0,Female
22-25,2,Information Technology/It,Customer Service Representatives,Bachelor's Degree,United States,42000.0,840.0,0.0,Female
22-25,2,Information Technology/It,Analyst,Bachelor's Degree,United States,80000.0,1500.0,0.0,Female
22-25,2,Information Technology/It,Marketing,Bachelor's Degree,United States,33000.0,2000.0,0.0,Female
22-25,2,Information Technology/It,Engineer,Bachelor's Degree,United States,55000.0,2000.0,0.0,Female
22-25,2,Information Technology/It,Staff Accountant,Bachelor's Degree,United States,65000.0,3500.0,0.0,Female
22-25,2,Information Technology/It,Analyst,Bachelor's Degree,United States,50000.0,5000.0,0.0,Female
22-25,2,Information Technology/It,Business Analyst,Bachelor's Degree,United States,67000.0,5000.0,0.0,Female
22-25,2,Information Technology/It,Marketing,Master's Degree,United States,75000.0,7500.0,0.0,Female
22-25,2,Information Technology/It,Financial Analyst,Bachelor's Degree,United States,103000.0,10300.0,0.0,Female
22-25,2,Information Technology/It,Software Engineer,Bachelor's Degree,United States,130000.0,13000.0,0.0,Female
22-25,2,Information Technology/It,Business Analyst,Bachelor's Degree,United States,105000.0,15750.0,0.0,Female
22-25,2,Information Technology/It,Manager,Master's Degree,United States,73000.0,26000.0,0.0,Female
22-25,2,Information Technology/It,Customer Success Manager,Bachelor's Degree,United States,60000.0,30000.0,0.0,Female
22-25,2,Information Technology/It,Analyst,Bachelor's Degree,United States,97000.0,40000.0,0.0,Female
22-25,2,Information Technology/It,Account Executive,Bachelor's Degree,United States,100000.0,100000.0,0.0,Female
22-25,2,Information Technology/It,Technician,Master's Degree,United States,54700.0,0.0,0.0,Male
22-25,2,Information Technology/It,Software Engineer,Bachelor's Degree,United States,107000.0,0.0,0.0,Male
22-25,2,Information Technology/It,Consultant,Master's Degree,United States,105000.0,4350.0,0.0,Male
22-25,2,Information Technology/It,Software Engineer,Bachelor's Degree,United States,105000.0,5000.0,0.0,Male
22-25,2,Information Technology/It,Computer Systems Software Architect,Bachelor's Degree,United States,72000.0,6000.0,0.0,Male
22-25,2,Information Technology/It,Computer Systems Software Architect,Bachelor's Degree,United States,120000.0,10000.0,0.0,Male
22-25,2,Information Technology/It,Business,Bachelor's Degree,United States,125000.0,12500.0,0.0,Male
22-25,2,Information Technology/It,Account Manager,Bachelor's Degree,United States,80000.0,80000.0,0.0,Male
22-25,2,Information Technology/It,Marketing,Bachelor's Degree,United States,52800.0,0.0,0.0,Female
22-25,2,Information Technology/It,Business,Bachelor's Degree,Canada,62084.4,0.0,0.0,Female
22-25,2,Information Technology/It,Manager,Bachelor's Degree,United States,63000.0,400.0,0.0,Female
22-25,2,Information Technology/It,Customer Support Representative,Master's Degree,United States,52500.0,500.0,0.0,Female
22-25,2,Information Technology/It,Data Analyst,Bachelor's Degree,United Kingdom,45900.0,2550.0,0.0,Female
22-25,2,Information Technology/It,Sales,Bachelor's Degree,Canada,36955.0,3695.5,0.0,Female
22-25,2,Information Technology/It,Manager,Some college,United States,70000.0,9000.0,0.0,Female
22-25,2,Information Technology/It,Computer Systems Software Architect,Bachelor's Degree,United States,110000.0,20009.0,0.0,Female
22-25,2,Information Technology/It,It Programmer,Bachelor's Degree,United States,65000.0,0.0,0.0,Male
22-25,2,Information Technology/It,Manager,Bachelor's Degree,United States,70000.0,7000.0,0.0,Male
22-25,2,Information Technology/It,Consultant,Bachelor's Degree,United States,63000.0,5000.0,0.0,Male
22-25,2,Information Technology/It,Marketing,Bachelor's Degree,United States,42000.0,6000.0,0.0,Female
22-25,2,Information Technology/It,Analyst,Bachelor's Degree,United States,72800.0,4000.0,0.0,Female
22-25,2,Telecommunications,Battery Repairer,Bachelor's Degree,Canada,98388.99,2956.4,0.0,Male
22-25,2,Telecommunications,Analyst,Bachelor's Degree,Canada,52476.1,7391.0,0.0,Female
22-25,2,Telecommunications,Fiber Optic Central Office Installer,Bachelor's Degree,United States,55000.0,0.0,0.0,Male
22-25,2,Telecommunications,Computer Network Engineer,Bachelor's Degree,United States,62000.0,5000.0,0.0,Male
22-25,2,Telecommunications,Engineer,Bachelor's Degree,United States,101000.0,8000.0,0.0,Male
22-25,2,Telecommunications,Analyst,Bachelor's Degree,United States,60500.0,0.0,0.0,Female
22-25,2,Telecommunications,Communications,Bachelor's Degree,Canada,45085.1,0.0,0.0,Female
22-25,2,Telecommunications,Die Designer,Bachelor's Degree,United States,57000.0,3000.0,0.0,Female
22-25,2,Telecommunications,Communications,Bachelor's Degree,United States,60408.0,4000.0,0.0,Female
22-25,2,Telecommunications,Director,Bachelor's Degree,United States,48000.0,12000.0,0.0,Female
22-25,2,Telecommunications,Account Assistant,Bachelor's Degree,United States,110000.0,0.0,0.0,Male
22-25,2,Telecommunications,Fingerprint Expert,Some college,United States,52400.0,3000.0,0.0,Male
22-25,2,Telecommunications,Manager,Bachelor's Degree,United States,67200.0,4000.0,0.0,Male
22-25,2,Telecommunications,Business,Bachelor's Degree,United States,80000.0,0.0,0.0,Female
22-25,2,Telecommunications,Marketing,Bachelor's Degree,United States,60000.0,4000.0,0.0,Female
